id,name,id_board,pos,closed
lst_seg_intake,Intake,brd_showcase_seg,1,False
lst_seg_ranked,Ranked lineup draft,brd_showcase_seg,2,False
lst_seg_review,For Julie review,brd_showcase_seg,3,False
lst_seg_locked,Locked,brd_showcase_seg,4,False
lst_str_recon,Reconciliation in progress,brd_storefront_dec,1,False
lst_str_margin,Kit margin picture,brd_storefront_dec,2,False
lst_str_ceiling,Shipment ceiling,brd_storefront_dec,3,False
lst_str_fulfill,Fulfillment queue,brd_storefront_dec,4,False
lst_str_review,For Julie review,brd_storefront_dec,5,False
lst_ven_open,Open POs,brd_vendor_chase,1,False
lst_ven_partial,Partial,brd_vendor_chase,2,False
lst_ven_notrec,Not received,brd_vendor_chase,3,False
lst_ven_reminder,Reminder draft,brd_vendor_chase,4,False
lst_baz_menu,Menu draft,brd_bazaar,1,False
lst_baz_vol,Volunteer assignments,brd_bazaar,2,False
lst_baz_locked,Locked December 5,brd_bazaar,3,False
lst_study_papers,Practice papers,brd_director_study,1,False
lst_study_review,Review with Rodney,brd_director_study,2,False
